ID,Domain,Name,Max Rate
6738,"verizon.com","Verizon","6.5%"
6739,"philo.com","Philo","$13.00"
6744,"89thandmadison.com","89th + Madison","3.9%"
6745,"525america.com","525 America","3.3%"
6754,"drop.com","Drop","1.3%"
6765,"ravpower.com","RAVPower","7.8%"
6767,"memorycross.com","Memory Cross Inc.","9.8%"
6768,"enjoyflowers.com","Enjoy Flowers","6.5%"
6771,"80eighty.com","80eighty, llc","6.5%"
6781,"idratherbewithmydog.net","I'd Rather Be With My Dog","0.7%"
6782,"rothys.com","Rothy’s","2.6%"
6787,"jegs.com","JEGS","1.3%"
6789,"showersplus.com","ShowersPlus.com","6.5%"
6793,"ilovedooney.com","ILoveDooney","1.3%"
6795,"misook.com","Misook","0.7%"
6796,"betteryourhealth.com","Natural Vitality","6.5%"
6796,"naturalvitality.com","Natural Vitality","6.5%"
6798,"pureology.com","Pureology","3.9%"
6799,"instacart.com","Instacart","$3.25"
6805,"capri-blue.com","Capri-Blue","4.2%"
6820,"pikolinos.com","PIKOLINOS","9.8%"
6823,"kutfromthekloth.com","kut from the kloth","13%"
6827,"graflantz.com","Graf Lantz","4.6%"
6853,"zerobreeze.com","Zero Breeze","3.3%"
6858,"diyanu.com","D'iyanu","3.3%"
6867,"anypromo.com","AnyPromo","1.3%"
6868,"shoppingbookmarks.com","ShoppingBookmarks.com","3.3%"
6881,"sharkninja.com","Shark Clean","2.6%"
6881,"sharkclean.com","Shark Clean","2.6%"
6898,"fusereel.com","Fuse Reel","9.8%"
6901,"lyfefuel.com","LYFE Fuel","5.2%"
6918,"sunshinejewelry.com","Sunshine Jewelry","11.4%"
6919,"jrroses.com","Jrroses.com","6.5%"
6922,"magicworldonline.com","MagicWorldOnline","3.3%"
6936,"jrenee.com","J Renee","4.6%"
6938,"ingridandisabel.com","Ingrid & Isabel","3.9%"
6966,"wetnwildbeauty.com","Wet n Wild","3.9%"
6967,"teamzealios.com","Zealios","13%"
6969,"karenkane.com","Karen Kane","1.3%"
7004,"sferra.com","SFERRA Fine Linens","2.6%"
7005,"joyoshare.com","Joyoshare","39%"
7007,"us.zadig-et-voltaire.com","Zadig & Voltaire","7.8%"
7007,"zadig-et-voltaire.com","Zadig & Voltaire","7.8%"
7021,"xpandlaces.com","Xpand Inc.","6.5%"
7031,"hipstiks.com","Hipstik® Legwear","9.8%"
7035,"maddafella.com","Madda Fella","5.2%"
7036,"arhaus.com","Arhaus","1.3%"
7043,"americanblinds.com","American Blinds","1.3%"
7047,"truereligionbrandjeans.com","True Religion","2.6%"
7047,"truereligion.com","True Religion","2.6%"
7052,"genietraveler.com","Genie Traveler","13%"
7053,"vitalsleep.com","VitalSleep","9.8%"
7059,"english4today.com","English4Today","13%"
7067,"alwayswebhosting.com","AlwaysWebHosting.com","$16.25"
7072,"iloveantix.com","Antix Clothing","13%"
7077,"beekshop.com","beek","2.6%"
7082,"us.nakedwines.com","NakedWines.com","$16.25"
7082,"nakedwines.com","NakedWines.com","$16.25"
7084,"campusprotein.com","Campus Protein","6.5%"
7142,"herbivorebotanicals.com","Herbivore Botanicals","3.9%"
7144,"borghese.com","Borghese","2.6%"
7145,"physiciansformula.com","Physicians Formula","3.9%"
7146,"eccobella.com","Ecco Bella","13%"
7156,"paddywax.com","Paddywax","6.5%"
7168,"kimerakoffee.com","Kimera Koffee","9.8%"
7170,"tubbytodd.com","Tubby Todd Bath Co","2%"
7174,"cprtestcenter.com","CPR Test Center","6.5%"
7189,"kbeads.com","Kbeads","3.3%"
7194,"gearinfusion.com","Gear Infusion","6.5%"
7199,"mingwang.com","Ming Wang Knits","3.9%"
7199,"mingwangknits.com","Ming Wang Knits","3.9%"
7201,"beebeecraft.com","Beebeecraft","3.3%"
7210,"couponsurfer.com","Coupon Surfer","$0.13"
7213,"hostned.com","HostNed Web Hosting","$13.00"
7221,"footcardigan.com","Foot Cardigan","0.7%"
7229,"easysmx.com","EasySMX Co., Ltd","6.5%"
7240,"stickershoppe.com","StickerShoppe.com","6.5%"
7242,"russellorganics.com","Russell Organics, LLC","6.5%"
7276,"mukhayoga.com","Mukha Yoga","5.2%"
7277,"gobiheat.com","Gobi Heat","3.9%"
7282,"swansonvitamins.com","Swanson Health","2%"
7283,"sullenclothing.com","Sullen Clothing","9.8%"
7330,"diabetesstore.com","Diabetes Store","5.2%"
7688,"golfavenue.com","Golf Avenue","1.3%"
7693,"kindsnacks.com","KIND Snacks","3.3%"
7695,"vennskincare.com","VENN Skincare","5.2%"
7696,"nextmar.com","Zeelool","3.9%"
7696,"zeelool-de.com","Zeelool","7.2%"
7696,"zeelool.com","Zeelool","3.9%"
7700,"beachsissi.com","www.beachsissi.com","4.6%"
7710,"kentfaith.com","K&F Concept","6.5%"
7711,"roddandgunn.com","Rodd & Gunn","1.3%"
7715,"boundarysupply.com","Boundary Supply","13%"
7721,"proenzaschouler.com","Proenza Schouler LLC","0.5%"
7736,"elietahari.com","Elie Tahari","3.9%"
7742,"lasfit.com","Lasfit","0.3%"
7745,"dailygreatness.co","Daily Greatness","6.5%"
7750,"smithhonig.com","SmithHönig","2.6%"
7750,"boholuxehome.com","SmithHönig","2.6%"
7752,"prodigygame.com","Prodigy","16.3%"
7757,"clarksbotanicals.com","Clarks Botanicals","3.3%"
7765,"sideshow.com","Sideshow","0.7%"
7766,"evanevanstours.com","Evan Evans Tours","4.6%"
7767,"1password.com","1Password","20.8%"
7771,"wherelight.com","Wherelight","6.5%"
7772,"dansko.com","Dansko","3.9%"
7774,"minimioche.com","Mini Mioche","3.3%"
7775,"stellamccartney.com","Stella McCartney","2.6%"
7780,"cashmereinlove.com","Cashmere in Love","5.2%"
7782,"niccolohotels.com","Niccolo Hotels","2.6%"
7784,"oneplus.com","OnePlus","2%"
7786,"simpletire.com","SimpleTire","2%"
7787,"flattummyco.com","Flat Tummy Co","3.9%"
